Date,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA,JPM,JNJ,V,PG,UNH,HD,MA,BAC,XOM,CVX,KO,PEP,DIS
2018-06-08,45.4089,95.0099,84.1995,56.4309,189.1,6.49402,21.1773,97.1114,110.197,128.613,68.4862,224.209,178.232,195.295,27.1147,65.5945,103.458,37.8179,90.0685,101.12
2018-06-11,45.2946,94.467,84.456,56.839,191.54,6.45287,22.14,96.8629,108.941,127.821,68.796,226.974,179.42,193.76,27.1598,65.2027,104.374,37.9746,90.687,101.48
2018-06-12,45.538,94.7131,84.9375,57.2021,192.4,6.5016,22.8513,96.3009,108.833,128.729,68.5375,226.813,180.92,195.385,27.0156,64.6688,103.974,38.2143,91.8037,101.46
2018-06-13,45.1723,94.2804,85.243,57.0049,192.41,6.49701,22.9853,96.128,108.912,128.28,67.8548,226.15,180.018,194.667,26.9615,63.954,103.974,38.0157,92.5164,103.39
2018-06-14,45.1961,94.8176,86.193,57.796,196.81,6.60874,23.848,94.4147,108.745,128.867,67.4296,228.332,179.448,194.577,26.6561,64.2535,103.505,37.8346,92.3949,105.76
2018-06-15,44.7298,93.6134,85.7985,57.7542,195.85,6.5681,23.878,94.2909,108.892,128.964,68.6618,229.737,180.234,194.787,26.4557,63.2907,101.497,38.3025,94.5733,105.86
2018-06-18,44.7073,94.2894,86.1895,58.9653,198.31,6.5641,24.722,94.5571,107.763,129.988,67.2944,228.747,180.362,196.342,26.5628,63.4132,103.067,37.8072,92.5811,104.12
2018-06-19,43.9819,94.2894,86.739,58.7216,197.49,6.44169,23.5033,93.9863,108.862,128.974,67.7305,227.087,179.027,194.946,26.436,63.3179,102.697,37.8532,93.1124,103.18
2018-06-20,44.1722,95.2376,87.504,58.9896,202.0,6.49482,24.148,93.9765,108.421,129.335,67.3034,226.916,178.9,196.751,26.4193,63.1216,102.51,37.5555,92.9723,104.21
2018-06-21,43.9306,94.553,86.511,58.2608,201.5,6.36601,23.1673,93.9667,107.882,128.407,67.8281,226.071,180.018,196.013,26.4656,62.5263,100.307,37.4068,94.2311,102.98
2018-06-22,43.8014,93.878,85.7835,58.2533,201.74,6.21352,22.242,92.4213,109.118,129.169,68.7052,228.274,177.417,196.691,26.1955,63.8519,102.355,37.5468,95.2222,103.42
2018-06-25,43.1483,91.9842,83.1575,56.7583,196.35,5.92055,22.2007,91.5882,108.882,124.938,69.0238,224.998,176.485,190.331,25.731,62.5672,100.316,37.8346,95.7741,101.58
2018-06-26,43.6834,92.6287,84.5545,56.4264,199.0,5.99187,22.8,91.6461,108.685,126.49,69.2103,224.18,176.465,191.767,25.7869,63.2722,101.594,37.6183,94.9556,101.39
2018-06-27,43.6172,91.19,83.0255,55.6453,195.84,5.8365,22.9667,90.2274,108.029,125.015,68.9371,222.719,175.278,188.596,25.5159,64.1126,103.097,37.3903,95.1378,101.1
2018-06-28,43.9396,92.2096,85.0725,56.1355,196.23,5.96391,23.3287,91.6992,108.381,126.678,69.2557,219.795,175.445,192.405,25.9038,64.3167,102.814,37.7396,95.4986,101.89
2018-06-29,43.8459,92.1903,84.99,56.2556,194.32,5.86605,22.8633,91.0674,107.783,126.395,69.2655,220.181,175.357,191.826,25.4698,64.9128,103.458,38.0782,95.6584,101.93
2018-07-02,44.3378,93.503,85.689,56.8992,197.36,5.99806,22.338,91.8288,108.01,126.443,69.3267,222.121,174.355,192.963,25.5523,64.1515,101.663,37.9833,96.2545,102.44
2018-07-03,43.5611,92.6023,84.698,55.6124,192.73,5.86445,20.724,90.5516,108.99,125.426,69.1235,221.683,174.002,191.597,25.1006,64.5277,102.043,38.1898,95.6026,101.18
2018-07-05,43.9169,93.2646,84.9865,56.8584,198.45,6.01034,20.6107,91.1422,111.039,127.216,70.2847,224.807,174.729,194.139,25.2272,64.5832,101.447,38.7721,96.276,102.45
